"BC9","BC10","JB5","JB7","135E","JBC","JB370","cond","rep","pres.BC9","pres.BC10","pres.JB5","pres.JB7","pres.X135E","pres.JBC","pres.JB370","day","pH"
3e+07,0,0,0,0,0,0,"alone",1,1,0,0,0,0,0,0,21,5
16700000,0,0,0,0,0,0,"alone",2,1,0,0,0,0,0,0,21,5
16300000,0,0,0,0,0,0,"alone",3,1,0,0,0,0,0,0,21,5
20700000,0,0,0,0,0,0,"alone",4,1,0,0,0,0,0,0,21,5
3100000,0,0,0,0,0,0,"alone",5,1,0,0,0,0,0,0,21,5
0,9.4e+07,0,0,0,0,0,"alone",1,0,1,0,0,0,0,0,21,5
0,5.7e+07,0,0,0,0,0,"alone",3,0,1,0,0,0,0,0,21,5
0,6.5e+07,0,0,0,0,0,"alone",4,0,1,0,0,0,0,0,21,5
0,9e+07,0,0,0,0,0,"alone",5,0,1,0,0,0,0,0,21,5
0,0,34100000,0,0,0,0,"alone",1,0,0,1,0,0,0,0,21,5
0,0,1e+05,0,0,0,0,"alone",2,0,0,1,0,0,0,0,21,5
0,0,170000,0,0,0,0,"alone",3,0,0,1,0,0,0,0,21,5
0,0,530000,0,0,0,0,"alone",4,0,0,1,0,0,0,0,21,5
0,0,60000,0,0,0,0,"alone",5,0,0,1,0,0,0,0,21,5
0,0,0,70,0,0,0,"alone",1,0,0,0,1,0,0,0,21,5
0,0,0,140,0,0,0,"alone",2,0,0,0,1,0,0,0,21,5
0,0,0,230,0,0,0,"alone",3,0,0,0,1,0,0,0,21,5
0,0,0,110,0,0,0,"alone",4,0,0,0,1,0,0,0,21,5
0,0,0,120,0,0,0,"alone",5,0,0,0,1,0,0,0,21,5
0,0,0,0,27700000,0,0,"alone",1,0,0,0,0,1,0,0,21,5
0,0,0,0,18500000,0,0,"alone",2,0,0,0,0,1,0,0,21,5
0,0,0,0,22400000,0,0,"alone",3,0,0,0,0,1,0,0,21,5
0,0,0,0,2.4e+07,0,0,"alone",4,0,0,0,0,1,0,0,21,5
0,0,0,0,1.8e+07,0,0,"alone",5,0,0,0,0,1,0,0,21,5
0,0,0,0,0,7.1e+07,0,"alone",1,0,0,0,0,0,1,0,21,5
0,0,0,0,0,5.6e+07,0,"alone",2,0,0,0,0,0,1,0,21,5
0,0,0,0,0,7e+07,0,"alone",3,0,0,0,0,0,1,0,21,5
0,0,0,0,0,8.6e+07,0,"alone",4,0,0,0,0,0,1,0,21,5
0,0,0,0,0,3.6e+07,0,"alone",5,0,0,0,0,0,1,0,21,5
0,0,0,0,0,0,8e+06,"alone",1,0,0,0,0,0,0,1,21,5
0,0,0,0,0,0,5500000,"alone",2,0,0,0,0,0,0,1,21,5
0,0,0,0,0,0,11700000,"alone",3,0,0,0,0,0,0,1,21,5
0,0,0,0,0,0,7900000,"alone",4,0,0,0,0,0,0,1,21,5
0,0,0,0,0,0,6400000,"alone",5,0,0,0,0,0,0,1,21,5
21900000,8.7e+07,0,0,0,0,0,"paired-comp",1,1,1,0,0,0,0,0,21,5
11500000,7.5e+07,0,0,0,0,0,"paired-comp",2,1,1,0,0,0,0,0,21,5
5.8e+07,1.16e+08,0,0,0,0,0,"paired-comp",3,1,1,0,0,0,0,0,21,5
5500000,1.69e+08,0,0,0,0,0,"paired-comp",4,1,1,0,0,0,0,0,21,5
9e+06,1.29e+08,0,0,0,0,0,"paired-comp",5,1,1,0,0,0,0,0,21,5
3.5e+07,0,1100,0,0,0,0,"paired-comp",1,1,0,1,0,0,0,0,21,5
2.9e+07,0,900,0,0,0,0,"paired-comp",2,1,0,1,0,0,0,0,21,5
4.2e+07,0,600,0,0,0,0,"paired-comp",3,1,0,1,0,0,0,0,21,5
9e+06,0,1700,0,0,0,0,"paired-comp",5,1,0,1,0,0,0,0,21,5
2.8e+07,0,0,100,0,0,0,"paired-comp",1,1,0,0,1,0,0,0,21,5
34500000,0,0,20,0,0,0,"paired-comp",3,1,0,0,1,0,0,0,21,5
1.3e+07,0,0,100,0,0,0,"paired-comp",5,1,0,0,1,0,0,0,21,5
1.32e+08,0,0,0,33600000,0,0,"paired-comp",1,1,0,0,0,1,0,0,21,5
3.23e+08,0,0,0,28100000,0,0,"paired-comp",2,1,0,0,0,1,0,0,21,5
3.18e+08,0,0,0,48500000,0,0,"paired-comp",3,1,0,0,0,1,0,0,21,5
1.52e+08,0,0,0,4.1e+07,0,0,"paired-comp",4,1,0,0,0,1,0,0,21,5
1.54e+08,0,0,0,4.1e+07,0,0,"paired-comp",5,1,0,0,0,1,0,0,21,5
2e+06,0,0,0,0,5.7e+07,0,"paired-comp",1,1,0,0,0,0,1,0,21,5
14200000,0,0,0,0,4.5e+07,0,"paired-comp",2,1,0,0,0,0,1,0,21,5
45600000,0,0,0,0,7.9e+07,0,"paired-comp",3,1,0,0,0,0,1,0,21,5
4400000,0,0,0,0,6.8e+07,0,"paired-comp",4,1,0,0,0,0,1,0,21,5
5100000,0,0,0,0,6.2e+07,0,"paired-comp",5,1,0,0,0,0,1,0,21,5
2.97e+08,0,0,0,0,0,5400000,"paired-comp",1,1,0,0,0,0,0,1,21,5
3300000,0,0,0,0,0,8400000,"paired-comp",2,1,0,0,0,0,0,1,21,5
6.22e+08,0,0,0,0,0,24200000,"paired-comp",3,1,0,0,0,0,0,1,21,5
5.26e+08,0,0,0,0,0,6700000,"paired-comp",4,1,0,0,0,0,0,1,21,5
0,1.56e+08,1.65e+09,0,0,0,0,"paired-comp",3,0,1,1,0,0,0,0,21,5
0,6.3e+07,3.9e+09,0,0,0,0,"paired-comp",4,0,1,1,0,0,0,0,21,5
0,4.1e+07,2.97e+09,0,0,0,0,"paired-comp",5,0,1,1,0,0,0,0,21,5
0,1.02e+08,0,1.49e+09,0,0,0,"paired-comp",1,0,1,0,1,0,0,0,21,5
0,1.6e+07,0,8.1e+07,0,0,0,"paired-comp",2,0,1,0,1,0,0,0,21,5
0,7.5e+07,0,1.41e+09,0,0,0,"paired-comp",3,0,1,0,1,0,0,0,21,5
0,8.6e+07,0,1.14e+09,0,0,0,"paired-comp",4,0,1,0,1,0,0,0,21,5
0,9.6e+07,0,1.72e+09,0,0,0,"paired-comp",5,0,1,0,1,0,0,0,21,5
0,2.29e+08,0,0,4.5e+07,0,0,"paired-comp",2,0,1,0,0,1,0,0,21,5
0,5e+07,0,0,39400000,0,0,"paired-comp",3,0,1,0,0,1,0,0,21,5
0,5.6e+07,0,0,3.1e+07,0,0,"paired-comp",4,0,1,0,0,1,0,0,21,5
0,4.3e+07,0,0,3.5e+07,0,0,"paired-comp",5,0,1,0,0,1,0,0,21,5
0,12700000,0,0,0,4.5e+07,0,"paired-comp",2,0,1,0,0,0,1,0,21,5
0,34700000,0,0,0,4.7e+07,0,"paired-comp",3,0,1,0,0,0,1,0,21,5
0,10300000,0,0,0,6.9e+07,0,"paired-comp",4,0,1,0,0,0,1,0,21,5
0,28800000,0,0,0,6.3e+07,0,"paired-comp",5,0,1,0,0,0,1,0,21,5
0,1.3e+08,0,0,0,0,1800000,"paired-comp",1,0,1,0,0,0,0,1,21,5
0,2.88e+08,0,0,0,0,5800000,"paired-comp",2,0,1,0,0,0,0,1,21,5
0,2.86e+08,0,0,0,0,9500000,"paired-comp",3,0,1,0,0,0,0,1,21,5
0,1.96e+08,0,0,0,0,8100000,"paired-comp",5,0,1,0,0,0,0,1,21,5
0,0,242000,1600,0,0,0,"paired-comp",1,0,0,1,1,0,0,0,21,5
0,0,1010000,200,0,0,0,"paired-comp",2,0,0,1,1,0,0,0,21,5
0,0,132000,120,0,0,0,"paired-comp",3,0,0,1,1,0,0,0,21,5
0,0,170000,250,0,0,0,"paired-comp",4,0,0,1,1,0,0,0,21,5
0,0,8.6e+08,0,16400000,0,0,"paired-comp",1,0,0,1,0,1,0,0,21,5
0,0,2.54e+09,0,15700000,0,0,"paired-comp",2,0,0,1,0,1,0,0,21,5
0,0,2.39e+09,0,15900000,0,0,"paired-comp",3,0,0,1,0,1,0,0,21,5
0,0,2.9e+09,0,13500000,0,0,"paired-comp",4,0,0,1,0,1,0,0,21,5
0,0,1.6e+08,0,1.4e+07,0,0,"paired-comp",5,0,0,1,0,1,0,0,21,5
0,0,1280,0,0,6.7e+07,0,"paired-comp",1,0,0,1,0,0,1,0,21,5
0,0,0,0,0,4.6e+07,0,"paired-comp",2,0,0,1,0,0,1,0,21,5
0,0,0,0,0,6.7e+07,0,"paired-comp",3,0,0,1,0,0,1,0,21,5
0,0,0,0,0,7.7e+07,0,"paired-comp",5,0,0,1,0,0,1,0,21,5
0,0,1.33e+08,0,0,0,9800000,"paired-comp",1,0,0,1,0,0,0,1,21,5
0,0,2.2e+07,0,0,0,11100000,"paired-comp",2,0,0,1,0,0,0,1,21,5
0,0,8.8e+07,0,0,0,9300000,"paired-comp",3,0,0,1,0,0,0,1,21,5
0,0,5.2e+07,0,0,0,4400000,"paired-comp",4,0,0,1,0,0,0,1,21,5
0,0,2.17e+08,0,0,0,6500000,"paired-comp",5,0,0,1,0,0,0,1,21,5
0,0,0,1.48e+09,16400000,0,0,"paired-comp",1,0,0,0,1,1,0,0,21,5
0,0,0,2.1e+09,17900000,0,0,"paired-comp",2,0,0,0,1,1,0,0,21,5
0,0,0,3.71e+09,23800000,0,0,"paired-comp",3,0,0,0,1,1,0,0,21,5
0,0,0,3.48e+09,16900000,0,0,"paired-comp",4,0,0,0,1,1,0,0,21,5
0,0,0,1.98e+09,11800000,0,0,"paired-comp",5,0,0,0,1,1,0,0,21,5
0,0,0,100,0,6.3e+07,0,"paired-comp",1,0,0,0,1,0,1,0,21,5
0,0,0,880000,0,6e+07,0,"paired-comp",2,0,0,0,1,0,1,0,21,5
0,0,0,1.6e+07,0,3.2e+08,0,"paired-comp",3,0,0,0,1,0,1,0,21,5
0,0,0,10,0,7.8e+07,0,"paired-comp",4,0,0,0,1,0,1,0,21,5
0,0,0,10500,0,6.7e+07,0,"paired-comp",5,0,0,0,1,0,1,0,21,5
0,0,0,26700000,0,0,6500000,"paired-comp",1,0,0,0,1,0,0,1,21,5
0,0,0,1.12e+08,0,0,5e+06,"paired-comp",2,0,0,0,1,0,0,1,21,5
0,0,0,5.52e+08,0,0,8300000,"paired-comp",3,0,0,0,1,0,0,1,21,5
0,0,0,1.1e+07,0,0,4800000,"paired-comp",4,0,0,0,1,0,0,1,21,5
0,0,0,3.24e+08,0,0,11800000,"paired-comp",5,0,0,0,1,0,0,1,21,5
0,0,0,0,1000,2.4e+07,0,"paired-comp",1,0,0,0,0,1,1,0,21,5
0,0,0,0,0,2.36e+08,0,"paired-comp",2,0,0,0,0,1,1,0,21,5
0,0,0,0,400,2.9e+07,0,"paired-comp",3,0,0,0,0,1,1,0,21,5
0,0,0,0,0,6.4e+07,0,"paired-comp",4,0,0,0,0,1,1,0,21,5
0,0,0,0,10900000,0,1300000,"paired-comp",1,0,0,0,0,1,0,1,21,5
0,0,0,0,13400000,0,3500000,"paired-comp",2,0,0,0,0,1,0,1,21,5
0,0,0,0,6900000,0,1500000,"paired-comp",3,0,0,0,0,1,0,1,21,5
0,0,0,0,18900000,0,6400000,"paired-comp",4,0,0,0,0,1,0,1,21,5
0,0,0,0,5200000,0,3900000,"paired-comp",5,0,0,0,0,1,0,1,21,5
0,0,0,0,0,4.7e+07,1200,"paired-comp",2,0,0,0,0,0,1,1,21,5
0,0,0,0,0,3.9e+07,1e+06,"paired-comp",3,0,0,0,0,0,1,1,21,5
0,0,0,0,0,5.6e+07,230,"paired-comp",4,0,0,0,0,0,1,1,21,5
