target,source,target.label,source.label,order,intx.effect,est,log.abs.est.per1000,norm.log.abs.est.per1000,perc.abs.est.per1000,norm.log.perc.abs.est.per1000
stimulateBC9ph5,stimulateBC10ph5,S. equorum,S. xylosus,3,stimulate,-0.0220862328118911,1.3441216457704863,4.344121645770486,1.272248433864695e-4,2.1045719249300134
stimulateBC9ph5,stimulateJB5ph5,S. equorum,Brevibacterium,1,stimulate,-5778.36812144212,6.761805205908727,9.761805205908727,33.28553065346844,7.5222554850682535
stimulateBC9ph5,stimulateJB7ph5,S. equorum,Brachybacterium,2,stimulate,-47588.2352941176,7.677499600233998,10.677499600233997,274.1257793439954,8.437949879393525
stimulateBC9ph5,stimulate135Eph5,S. equorum,Diutina,7,stimulate,-4.99735458192385,3.6987401654340974,6.6987401654340974,0.028786604734584387,4.459190444593625
inhibitBC9ph5,inhibitJBCph5,S. equorum,Penicillium,5,inhibit,0.0214262122804384,1.3309454033751895,4.330945403375189,1.234228817997604e-4,2.091395682534716
stimulateBC9ph5,stimulateJB370ph5,S. equorum,Scopulariopsis,6,stimulate,-26.6102403286546,4.425048796871464,7.425048796871464,0.15328479451989976,5.185499076030991
stimulateBC10ph5,stimulateBC9ph5,S. xylosus,S. equorum,4,stimulate,-0.852668511491004,2.930780225058817,5.930780225058816,0.0011145993614261487,3.0471187899051992
inhibitBC10ph5,inhibitJB5ph5,S. xylosus,Brevibacterium,1,inhibit,0.00100585346161609,0.002534714867950865,3.002534714867951,1.3148411262955427e-6,0.11887327971433326
stimulateBC10ph5,stimulateJB7ph5,S. xylosus,Brachybacterium,2,stimulate,-0.00889314592964442,0.9490554188105852,3.9490554188105853,1.1625027359012314e-5,1.0653939836569677
stimulateBC10ph5,stimulate135Eph5,S. xylosus,Diutina,7,stimulate,-0.695844090946947,2.842511943595666,5.842511943595666,9.096001188848979e-4,2.9588505084420484
inhibitBC10ph5,inhibitJBCph5,S. xylosus,Penicillium,5,inhibit,0.957150570811478,2.98098026267635,5.980980262676351,0.0012511772167470303,3.0973188275227326
stimulateBC10ph5,stimulateJB370ph5,S. xylosus,Scopulariopsis,6,stimulate,-22.2123067344609,4.346593662106669,7.346593662106669,0.029035695077726666,4.462932226953052
stimulateJB5ph5,stimulateBC10ph5,Brevibacterium,S. xylosus,3,stimulate,-20.7780991129194,4.317605813551706,7.317605813551706,0.2971696097385498,5.47300439392536
inhibitJB5ph5,inhibitBC9ph5,Brevibacterium,S. equorum,4,inhibit,0.205567604193301,2.3129546743863023,5.312954674386303,0.0029400401057394308,3.468353254759956
inhibitJB5ph5,inhibitJB7ph5,Brevibacterium,Brachybacterium,2,inhibit,5426.08988008517,6.734486983325638,9.734486983325638,77.60426029870094,7.889885563699291
stimulateJB5ph5,stimulate135Eph5,Brevibacterium,Diutina,7,stimulate,-115.86911932735,5.0639677060868324,8.063967706086832,1.6571670384346397,6.2193662864604855
inhibitJB5ph5,inhibitJBCph5,Brevibacterium,Penicillium,5,inhibit,0.105554734183163,2.023477716407449,5.023477716407449,0.001509650088431965,3.1788762967811026
stimulateJB5ph5,stimulateJB370ph5,Brevibacterium,Scopulariopsis,6,stimulate,-10.1209440587995,4.005221024401479,7.005221024401479,0.14475034409038187,5.160619604775132
stimulateJB7ph5,stimulateBC10ph5,Brachybacterium,S. xylosus,3,stimulate,-15.873360785178,4.200668887431161,7.200668887431161,11845.791630729853,10.073564089066354
inhibitJB7ph5,inhibitBC9ph5,Brachybacterium,S. equorum,4,inhibit,2.48547766242855e-6,-2.604590135613943,0.39540986438605685,0.0018548340764392162,3.268305066021249
stimulateJB7ph5,stimulateJB5ph5,Brachybacterium,Brevibacterium,1,stimulate,-3.90496609741615e-4,-0.40838273227810296,2.591617267721897,0.2914153804041903,5.464512469357089
stimulateJB7ph5,stimulate135Eph5,Brachybacterium,Diutina,7,stimulate,-146.986694399049,5.167278023111388,8.167278023111388,109691.56298436491,11.040173224746582
stimulateJB7ph5,stimulateJBCph5,Brachybacterium,Penicillium,5,stimulate,-0.0429180848832772,1.6326403343754257,4.632640334375425,32.02842155468447,7.505535536010618
stimulateJB7ph5,stimulateJB370ph5,Brachybacterium,Scopulariopsis,6,stimulate,-30.7993603726292,4.488541697360118,7.488541697360118,22984.597293006864,10.36143689899531
stimulate135Eph5,stimulateBC10ph5,Diutina,S. xylosus,3,stimulate,-0.119391249207356,2.0769724963056597,5.076972496305659,5.397434412629114e-4,2.732187373672999
stimulate135Eph5,stimulateBC9ph5,Diutina,S. equorum,4,stimulate,-0.0653066960329555,1.8149577126850873,4.8149577126850875,2.9523822799708635e-4,2.4701725900524267
inhibit135Eph5,inhibitJB5ph5,Diutina,Brevibacterium,1,inhibit,0.00292372146642985,0.46593599641360667,3.4659359964136067,1.3217547316590641e-5,1.1211508737809464
inhibit135Eph5,inhibitJB7ph5,Diutina,Brachybacterium,2,inhibit,0.00136539608136215,0.1352586521078389,3.1352586521078387,6.172676678852395e-6,0.7904735294751779
inhibit135Eph5,inhibitJBCph5,Diutina,Penicillium,5,inhibit,0.127568239964711,2.1057425636881053,5.105742563688105,5.767099455909178e-4,2.760957441055445
inhibit135Eph5,inhibitJB370ph5,Diutina,Scopulariopsis,6,inhibit,2.13559977888336,3.3295198672197066,6.329519867219707,0.00965461021195009,3.984734744587046
inhibitJBCph5,inhibitBC10ph5,Penicillium,S. xylosus,3,inhibit,0.343863949480857,2.536386646999051,5.536386646999051,5.389717076502461e-4,2.731565968277889
stimulateJBCph5,stimulateBC9ph5,Penicillium,S. equorum,4,stimulate,-0.181027047207097,2.257743467550025,5.257743467550025,2.8374145330265985e-4,2.4529227888288623
stimulateJBCph5,stimulateJB5ph5,Penicillium,Brevibacterium,1,stimulate,-2500.00000000002,6.397940008672041,9.397940008672041,3.9184952978056744,6.593119329950879
stimulateJBCph5,stimulateJB7ph5,Penicillium,Brachybacterium,2,stimulate,-15.9513094109344,4.202796339217791,7.202796339217791,0.025002052368235737,4.397975660496629
inhibitJBCph5,inhibit135Eph5,Penicillium,Diutina,7,inhibit,46310.3448275862,7.665678014769759,10.66567801476976,72.58674737866176,7.860857336048597
inhibitJBCph5,inhibitJB370ph5,Penicillium,Scopulariopsis,6,inhibit,24.8219169433602,4.394835318088409,7.394835318088409,0.03890582593003166,4.590014639367247
inhibitJB370ph5,inhibitBC10ph5,Scopulariopsis,S. xylosus,3,inhibit,0.00409441233140654,0.6121915765378713,3.6121915765378714,5.182800419501949e-5,1.71456448524743
stimulateJB370ph5,stimulateBC9ph5,Scopulariopsis,S. equorum,4,stimulate,-0.0116610594624977,1.0667380099267618,4.066738009926762,1.4760834762655314e-4,2.16911091863632
inhibitJB370ph5,inhibitJB5ph5,Scopulariopsis,Brevibacterium,1,inhibit,5.21727644961022e-4,-0.2825561505577972,2.7174438494422026,6.604147404569899e-6,0.8198167581517612
stimulateJB370ph5,stimulateJB7ph5,Scopulariopsis,Brachybacterium,2,stimulate,-0.0025720357088719,0.41027699382386673,3.410276993823867,3.255741403635316e-5,1.5126499025334255
inhibitJB370ph5,inhibit135Eph5,Scopulariopsis,Diutina,7,inhibit,0.307040247593224,2.487195307600905,5.487195307600905,0.0038865854125724555,3.5895682163104636
inhibitJB370ph5,inhibitJBCph5,Scopulariopsis,Penicillium,5,inhibit,0.157694541217594,2.1978166599737414,5.197816659973741,0.0019961334331341013,3.3001895686833
inhibitBC9ph7,inhibitBC10ph7,S. equorum,S. xylosus,3,inhibit,0.771286737895645,2.8872158638294523,5.887215863829452,3.296097170494209e-4,2.5180000064193093
stimulateBC9ph7,stimulateJB5ph7,S. equorum,Brevibacterium,1,stimulate,-0.0057803022475012,0.761950547934374,3.761950547934374,2.4702146356842738e-6,0.3927346905242315
stimulateBC9ph7,stimulateJB7ph7,S. equorum,Brachybacterium,2,stimulate,-0.0450285560664839,1.653488020637979,4.653488020637979,1.9242972677984573e-5,1.2842721632278362
stimulateBC9ph7,stimulate135Eph7,S. equorum,Diutina,7,stimulate,-2.29256001282411,3.360320713108567,6.3603207131085675,9.797265012068846e-4,2.991104855698424
inhibitBC9ph7,inhibitJBCph7,S. equorum,Penicillium,5,inhibit,1.2332793084819,3.0910614451240157,6.091061445124016,5.270424395221795e-4,2.721845587713873
inhibitBC9ph7,inhibitJB370ph7,S. equorum,Scopulariopsis,6,inhibit,57.7327509504165,4.761422252009654,7.761422252009654,0.024672115790776283,4.39220639459951
inhibitBC10ph7,inhibitBC9ph7,S. xylosus,S. equorum,4,inhibit,0.355814905814905,2.5512241376140254,5.5512241376140254,1.427828675019683e-4,2.1546760996268937
stimulateBC10ph7,stimulateJB5ph7,S. xylosus,Brevibacterium,1,stimulate,-0.00419420621674336,0.6226497796324273,3.622649779632427,1.6830683052742213e-6,0.22610174164529528
stimulateBC10ph7,stimulateJB7ph7,S. xylosus,Brachybacterium,2,stimulate,-0.0189509579752425,1.27763116854398,4.27763116854398,7.604718288620586e-6,0.8810831305568483
inhibitBC10ph7,inhibit135Eph7,S. xylosus,Diutina,7,inhibit,1.2789045204599,3.1068381224417188,6.106838122441719,5.132040611797353e-4,2.710290084454587
inhibitBC10ph7,inhibitJBCph7,S. xylosus,Penicillium,5,inhibit,2.11646188914216,3.3256104525953925,6.3256104525953925,8.493025237328091e-4,2.9290624146082607
inhibitBC10ph7,inhibitJB370ph7,S. xylosus,Scopulariopsis,6,inhibit,164.543864033991,5.216281691760354,8.216281691760354,0.06602883789485996,4.8197336537732225
inhibitJB5ph7,inhibitBC10ph7,Brevibacterium,S. xylosus,3,inhibit,1.27656966558843,3.1060445203193234,6.106044520319323,3.273255552790846e-5,1.5149799132928239
inhibitJB5ph7,inhibitBC9ph7,Brevibacterium,S. equorum,4,inhibit,2.62291528640018,3.4187842641919315,6.418784264191931,6.725423811282513e-5,1.8277196571654324
inhibitJB5ph7,inhibitJB7ph7,Brevibacterium,Brachybacterium,2,inhibit,0.928434254130707,2.967751155163368,5.967751155163368,2.3806006516171976e-5,1.3766865481368686
inhibitJB5ph7,inhibit135Eph7,Brevibacterium,Diutina,7,inhibit,37.8058202420809,4.5775586650340045,7.5775586650340045,0.00096938000620720255,2.9864940580075054
inhibitJB5ph7,inhibitJBCph7,Brevibacterium,Penicillium,5,inhibit,72.2906473500825,4.859082113795384,7.859082113795384,0.0018536063423098075,3.268017506768885
inhibitJB5ph7,inhibitJB370ph7,Brevibacterium,Scopulariopsis,6,inhibit,2976.49486055337,6.47370513700192,9.47370513700192,0.07632038103983,4.882640529975421
stimulateJB7ph7,stimulateBC10ph7,Brachybacterium,S. xylosus,3,stimulate,-2.89910837784351,3.462264450960245,6.4622644509602445,1.662332785460728e-4,2.2207179703636966
stimulateJB7ph7,stimulateBC9ph7,Brachybacterium,S. equorum,4,stimulate,-1.57423549247668,3.197069699708669,6.197069699708669,9.026579658696558e-5,1.9555232191121208
stimulateJB7ph7,stimulateJB5ph7,Brachybacterium,Brevibacterium,1,stimulate,-0.0486115265834412,1.6867392597570032,4.686739259757003,2.787358175656032e-6,0.44519277916045485
stimulateJB7ph7,stimulate135Eph7,Brachybacterium,Diutina,7,stimulate,-201.448673698438,5.3041644124176415,8.304164412417641,0.011550956060690253,4.062617931821093
inhibitJB7ph7,inhibitJBCph7,Brachybacterium,Penicillium,5,inhibit,4.32189510625853,3.6356742222126743,6.635674222212675,2.4781508636803493e-4,2.394127741616126
inhibitJB7ph7,inhibitJB370ph7,Brachybacterium,Scopulariopsis,6,inhibit,141.315929675013,5.150191119952031,8.15019111995203,0.008102977618980102,3.9086446393554826
stimulate135Eph7,stimulateBC10ph7,Diutina,S. xylosus,3,stimulate,-0.00282153649752805,0.45048567238827447,3.4504856723882744,3.163157508439518e-5,1.5001208180121512
stimulate135Eph7,stimulateBC9ph7,Diutina,S. equorum,4,stimulate,-0.0201047824046637,1.3032993770676176,4.303299377067617,2.2538993727201458e-4,2.3529345226914944
stimulate135Eph7,stimulateJB5ph7,Diutina,Brevibacterium,1,stimulate,-5.15137480323368e-4,-0.28807685061360466,2.7119231493863953,5.775083860127444e-6,0.7615582950102722
stimulate135Eph7,stimulateJB7ph7,Diutina,Brachybacterium,2,stimulate,-8.92741344939105e-4,-0.04927435156744929,2.9507256484325506,1.0008311041918218e-5,1.0003607940564274
inhibit135Eph7,inhibitJBCph7,Diutina,Penicillium,5,inhibit,0.164397637515121,2.2158955721972267,5.215895572197226,0.0018430228420977688,3.265530717821104
stimulate135Eph7,stimulateJB370ph7,Diutina,Scopulariopsis,6,stimulate,-1.02998741170151,3.012831916878008,6.0128319168780084,0.011546944077371188,4.062467062501885
inhibitJBCph7,inhibitBC10ph7,Penicillium,S. xylosus,3,inhibit,0.0753267002285911,1.8769489430876671,4.876948943087667,1.0885361304709697e-4,2.0368428486309096
inhibitJBCph7,inhibitBC9ph7,Penicillium,S. equorum,4,inhibit,0.10980366290702,2.040616827853354,5.040616827853354,1.5867581344945083e-4,2.200510733396596
inhibitJBCph7,inhibitJB5ph7,Penicillium,Brevibacterium,1,inhibit,0.157495099778191,2.1972670459199155,5.197267045919915,2.2759407482397543e-4,2.357160951463158
inhibitJBCph7,inhibitJB7ph7,Penicillium,Brachybacterium,2,inhibit,0.0149791080819154,1.1754859544425809,4.175485954442581,2.164610994496445e-5,1.3353798599858226
inhibitJBCph7,inhibitJB370ph7,Penicillium,Scopulariopsis,6,inhibit,4996.39103568473,6.6986564204936085,9.69865642049361,7.220218259660015,6.85855032603685
inhibitJB370ph7,inhibitBC10ph7,Scopulariopsis,S. xylosus,3,inhibit,0.00353021207398875,0.54780079598174,3.54780079598174,2.728139160733192e-4,2.4358665196490588
inhibitJB370ph7,inhibitBC9ph7,Scopulariopsis,S. equorum,4,inhibit,0.00274992553636383,0.4393209339814868,3.4393209339814867,2.1251356540678747e-4,2.3273866576488054
inhibitJB370ph7,inhibitJB5ph7,Scopulariopsis,Brevibacterium,1,inhibit,2.75569506169002e-4,-0.5597688420446834,2.4402311579553166,2.1295943289721946e-5,1.3282968816226353
stimulateJB370ph7,stimulateJB7ph7,Scopulariopsis,Brachybacterium,2,stimulate,-5.75422917331634e-5,-1.240012845482763,1.759987154517237,4.446854075205827e-6,0.6480528781845551
stimulateJB370ph7,stimulate135Eph7,Scopulariopsis,Diutina,7,stimulate,-0.0862351429964325,1.9356842878560028,4.935684287856002,0.006664230525226623,3.823750011523321
inhibitJB370ph7,inhibitJBCph7,Scopulariopsis,Penicillium,5,inhibit,0.0189429530159129,1.2774476820879515,4.277447682087951,0.0014639067245682306,3.16551340575527
leg0-1,leg0-2,leg0-1,leg0-2,NA,NA,NA,-2.6020599913279625,0.3979400086720375,1.3000000000000005e-6,0.11394335230683694
leg9e-04-1,leg9e-04-2,leg9e-04-1,leg9e-04-2,NA,NA,NA,-0.026802492411967214,2.973197507588033,7.011415195457444e-4,2.845805685519684
leg0.3536-1,leg0.3536-2,leg0.3536-1,leg0.3536-2,NA,NA,NA,2.548455006504028,5.548455006504028,0.37815340802378095,5.577668018732531
leg132.9574-1,leg132.9574-2,leg132.9574-1,leg132.9574-2,NA,NA,NA,5.123712505420023,8.123712505420023,203.95311932553503,8.309530351945378
leg50000-1,leg50000-2,leg50000-1,leg50000-2,NA,NA,NA,7.698970004336019,10.698970004336019,109999.99999999997,11.041392685158225
