species,condition,day,pH,class,mean.CFUs,mean.measured.pH,med.CFUs,med.measured.pH,mean.log.CFUs,med.log.CFUs,dayChar
JB5,BC9,10,7,bacteria,1706000000,7.628,1570000000,7.57,9.231979026831505,9.195899652409233,10
JB5,BC9,21,5,bacteria,1075,6.005,1000,6.005,3.031408464251624,3,21
JB5,BC9,21,7,bacteria,3270000000,7.944,3190000000,7.87,9.514547752660286,9.503790683057181,21
JB5,JB7,0,5,bacteria,314.2,5.86,314,5.86,2.4972061807039547,2.496929648073215,0
JB5,JB7,0,7,bacteria,314.2,7.1,314,7.1,2.4972061807039547,2.496929648073215,0
JB5,JB7,3,5,bacteria,352,6.022,340,6.03,2.546542663478131,2.531478917042255,3
JB5,JB7,3,7,bacteria,11020000,7.2139999999999995,9300000,7.1,7.042181594515767,6.968482948553935,3
JB5,JB7,10,5,bacteria,7510,6.11,7500,6.04,3.8756399370041685,3.8750612633917,10
JB5,JB7,10,7,bacteria,1102000000,7.798,1260000000,7.75,9.042181594515766,9.100370545117563,10
JB5,JB7,21,5,bacteria,388500,6,206000,5.91,5.589391023136933,5.313867220369153,21
JB5,JB7,21,7,bacteria,2146000000,8.12,1900000000,7.94,9.331629717629932,9.278753600952829,21
JB5,JBC,0,5,bacteria,314.2,5.86,314,5.86,2.4972061807039547,2.496929648073215,0
JB5,JBC,0,7,bacteria,314.2,7.1,314,7.1,2.4972061807039547,2.496929648073215,0
JB5,JBC,3,5,bacteria,820,6.148000000000001,920,6.15,2.9138138523837167,2.963787827345555,3
JB5,JBC,3,7,bacteria,12260000,7.082,7100000,7,7.088490470182396,6.8512583487190755,3
JB5,JBC,10,5,bacteria,40,6.7975,35,6.83,1.6020599913279623,1.5440680443502757,10
JB5,JBC,10,7,bacteria,162760,7.134,17000,7.04,5.211547681181248,4.230448921378274,10
JB5,JBC,21,5,bacteria,320,7.5325,0,7.609999999999999,2.505149978319906,-Inf,21
JB5,JBC,21,7,bacteria,68475000,7.7975,69450000,7.68,7.835532040925999,7.841672250073635,21
JB5,JB370,0,5,bacteria,314.2,5.86,314,5.86,2.4972061807039547,2.496929648073215,0
JB5,JB370,0,7,bacteria,314.2,7.1,314,7.1,2.4972061807039547,2.496929648073215,0
JB5,JB370,3,5,bacteria,462.5,5.9925,460,5.95,2.6651117370750512,2.662757831681574,3
JB5,JB370,3,7,bacteria,36900000,7.25,15800000,7.14,7.567026366159061,7.198657086954422,3
JB5,JB370,10,5,bacteria,18000000,7.276,21000000,7.28,7.2552725051033065,7.3222192947339195,10
JB5,JB370,10,7,bacteria,712200000,7.835999999999999,810000000,7.79,8.852601969338235,8.90848501887865,10
JB5,JB370,21,5,bacteria,102400000,7.24,88000000,7.18,8.010299956639813,7.944482672150168,21
JB5,JB370,21,7,bacteria,750000000,7.752,680000000,7.7,8.8750612633917,8.832508912706237,21
JB5,community,0,5,bacteria,314.2,5.86,314,5.86,2.4972061807039547,2.496929648073215,0
JB5,community,0,7,bacteria,314.2,7.1,314,7.1,2.4972061807039547,2.496929648073215,0
JB5,community,3,5,bacteria,688000,6.702,820000,6.66,5.837588438235511,5.913813852383717,3
JB5,community,3,7,bacteria,9660000,7.25,8000000,7.16,6.984977126415493,6.903089986991944,3
JB5,community,10,5,bacteria,6300000,6.544,5800000,6.55,6.799340549453582,6.763427993562937,10
JB5,community,10,7,bacteria,29300000,6.712,19000000,6.7,7.466867620354109,7.278753600952829,10
JB5,community,21,5,bacteria,2840000,7.508,2600000,7.31,6.453318340047038,6.414973347970818,21
JB5,community,21,7,bacteria,144600000,7.79,160000000,7.82,8.160168292958511,8.204119982655925,21
JB7,alone,0,5,bacteria,251.4,5.86,227,5.86,2.400365273349939,2.3560258571931225,0
JB7,alone,0,7,bacteria,251.4,7.1,227,7.1,2.400365273349939,2.3560258571931225,0
JB7,alone,3,5,bacteria,110,5.968,150,5.94,2.041392685158225,2.1760912590556813,3
JB7,alone,3,7,bacteria,26840000,7.206,15200000,7.16,7.428782511496954,7.181843587944773,3
JB7,alone,10,5,bacteria,167.5,6.1075,135,6.085,2.224014811372864,2.130333768495006,10
JB7,alone,10,7,bacteria,1450000000,7.6339999999999995,1360000000,7.56,9.161368002234974,9.133538908370218,10
JB7,alone,21,5,bacteria,134,6.046,120,6.03,2.1271047983648077,2.0791812460476247,21
JB7,alone,21,7,bacteria,1744000000,8.116,1780000000,7.98,9.241546480596549,9.250420002308894,21
JB7,135E,0,5,bacteria,251.4,5.86,227,5.86,2.400365273349939,2.3560258571931225,0
JB7,135E,0,7,bacteria,251.4,7.1,227,7.1,2.400365273349939,2.3560258571931225,0
JB7,135E,3,5,bacteria,270600,6.714,236000,6.69,5.432327792261604,5.372912002970106,3
JB7,135E,3,7,bacteria,15920000,7.21,7400000,7.12,7.20194306340165,6.869231719730976,3
JB7,135E,10,5,bacteria,1447500000,6.9575,1455000000,6.91,9.160618572399473,9.162862993321927,10
JB7,135E,10,7,bacteria,2670000000,7.715,2820000000,7.625,9.426511261364576,9.450249108319362,10
JB7,135E,21,5,bacteria,2550000000,7.698,2100000000,7.69,9.406540180433955,9.32221929473392,21
JB7,135E,21,7,bacteria,4292000000,7.984,4400000000,7.88,9.632659713293913,9.643452676486188,21
JB7,BC10,0,5,bacteria,251.4,5.86,227,5.86,2.400365273349939,2.3560258571931225,0
JB7,BC10,0,7,bacteria,251.4,7.1,227,7.1,2.400365273349939,2.3560258571931225,0
JB7,BC10,3,5,bacteria,250,6.175000000000001,250,6.175000000000001,2.3979400086720375,2.3979400086720375,3
JB7,BC10,3,7,bacteria,11438000,7.24,3400000,7.16,7.058350092210653,6.531478917042255,3
JB7,BC10,10,5,bacteria,16940000,6.58,5900000,6.47,7.228913405994688,6.770852011642144,10
JB7,BC10,10,7,bacteria,1512000000,7.72,1440000000,7.65,9.179551791165188,9.15836249209525,10
JB7,BC10,21,5,bacteria,1168200000,7.094,1410000000,7,9.067517201903675,9.14921911265538,21
JB7,BC10,21,7,bacteria,2636000000,7.948,2430000000,7.86,9.420945405921973,9.385606273598313,21
JB7,BC9,0,5,bacteria,251.4,5.86,227,5.86,2.400365273349939,2.3560258571931225,0
JB7,BC9,0,7,bacteria,251.4,7.1,227,7.1,2.400365273349939,2.3560258571931225,0
JB7,BC9,3,5,bacteria,360,5.984,300,6.02,2.5563025007672873,2.4771212547196626,3
JB7,BC9,3,7,bacteria,6480000,7.202,4300000,7.17,6.811575005870593,6.633468455579586,3
JB7,BC9,10,5,bacteria,175,6.03,200,6.005,2.2430380486862944,2.3010299956639813,10
JB7,BC9,10,7,bacteria,1028000000,7.62,1090000000,7.54,9.011993114659257,9.037426497940624,10
JB7,BC9,21,5,bacteria,32555,5.9725,100,5.955,4.512617699682916,2,21
JB7,BC9,21,7,bacteria,2506000000,7.924,2320000000,7.81,9.39898106665813,9.3654879848909,21
JB7,JB5,0,5,bacteria,251.4,5.86,227,5.86,2.400365273349939,2.3560258571931225,0
JB7,JB5,0,7,bacteria,251.4,7.1,227,7.1,2.400365273349939,2.3560258571931225,0
JB7,JB5,3,5,bacteria,130,6.022,140,6.03,2.113943352306837,2.146128035678238,3
JB7,JB5,3,7,bacteria,64980000,7.2139999999999995,43000000,7.1,7.812779707008964,7.633468455579586,3
JB7,JB5,10,5,bacteria,134,6.11,120,6.04,2.1271047983648077,2.0791812460476247,10
JB7,JB5,10,7,bacteria,1704000000,7.798,1680000000,7.75,9.231469590430681,9.225309281725863,10
JB7,JB5,21,5,bacteria,542.5,6,225,5.91,2.734399742520567,2.3521825181113627,21
JB7,JB5,21,7,bacteria,1832000000,8.12,1960000000,7.94,9.262925469331831,9.292256071356476,21
JB7,JBC,0,5,bacteria,251.4,5.86,227,5.86,2.400365273349939,2.3560258571931225,0
JB7,JBC,0,7,bacteria,251.4,7.1,227,7.1,2.400365273349939,2.3560258571931225,0
JB7,JBC,3,5,bacteria,214,6.182,220,6.21,2.330413773349191,2.342422680822206,3
JB7,JBC,3,7,bacteria,80450000,6.9875,74150000,6.885,7.905526048435048,7.870111155364401,3
JB7,JBC,10,5,bacteria,198,6.858,50,6.7,2.296665190261531,1.6989700043360187,10
JB7,JBC,10,7,bacteria,69040000,7.086,65000000,6.99,7.8391007827071535,7.812913356642856,10
JB7,JBC,21,5,bacteria,3378122,7.466,10500,7.31,6.528675329950807,4.021189299069938,21
JB7,JBC,21,7,bacteria,1556000000,7.8420000000000005,1680000000,7.75,9.19200959265367,9.225309281725863,21
JB7,JB370,0,5,bacteria,251.4,5.86,227,5.86,2.400365273349939,2.3560258571931225,0
JB7,JB370,0,7,bacteria,251.4,7.1,227,7.1,2.400365273349939,2.3560258571931225,0
JB7,JB370,3,5,bacteria,154,5.998,110,5.97,2.187520720836463,2.041392685158225,3
JB7,JB370,3,7,bacteria,77020000,7.218,44000000,7.09,7.886603514286712,7.643452676486188,3
JB7,JB370,10,5,bacteria,632400,7.286,462000,7.27,5.800991861260171,5.664641975556125,10
JB7,JB370,10,7,bacteria,990000000,7.89,1030000000,7.82,8.99563519459755,9.012837224705173,10
JB7,JB370,21,5,bacteria,205140000,7.224,112000000,7.17,8.312050351180238,8.049218022670182,21
JB7,JB370,21,7,bacteria,1510000000,7.455,1630000000,7.4399999999999995,9.178976947293169,9.212187604403958,21
JB7,community,0,5,bacteria,251.4,5.86,227,5.86,2.400365273349939,2.3560258571931225,0
JB7,community,0,7,bacteria,251.4,7.1,227,7.1,2.400365273349939,2.3560258571931225,0
JB7,community,3,5,bacteria,222800,6.702,204000,6.66,5.347915186501691,5.309630167425898,3
JB7,community,3,7,bacteria,13440000,7.25,13000000,7.16,7.128399268717806,7.113943352306837,3
JB7,community,10,5,bacteria,2360000,6.544,600000,6.55,6.372912002970106,5.778151250383644,10
JB7,community,10,7,bacteria,20180000,6.712,18000000,6.7,7.304921161900892,7.2552725051033065,10
JB7,community,21,5,bacteria,13075000,7.5575,3500000,7.585,7.116441697539312,6.544068044350276,21
JB7,community,21,7,bacteria,218720000,7.79,122000000,7.82,8.339888497223747,8.086359830674748,21
JBC,alone,0,5,fungi,491.2,5.86,250,5.86,2.691258358133111,2.3979400086720375,0
JBC,alone,0,7,fungi,284.6,7.1,223,7.1,2.4542348957482654,2.3483048630481607,0
JBC,alone,3,5,fungi,11220,6.108,10900,6.12,4.049992856920142,4.037426497940624,3
JBC,alone,3,7,fungi,3720,7.044,3100,7.01,3.5705429398818973,3.4913616938342726,3
JBC,alone,10,5,fungi,45400000,6.822,45000000,6.65,7.657055852857104,7.653212513775344,10
JBC,alone,10,7,fungi,30660000,7.188,30000000,7.16,7.486572150518357,7.477121254719663,10
JBC,alone,21,5,fungi,63800000,7.53,70000000,7.6,7.804820678721162,7.845098040014257,21
JBC,alone,21,7,fungi,69200000,7.832,67000000,7.78,7.8401060944567575,7.826074802700826,21
JBC,135E,0,5,fungi,491.2,5.86,250,5.86,2.691258358133111,2.3979400086720375,0
JBC,135E,0,7,fungi,284.6,7.1,223,7.1,2.4542348957482654,2.3483048630481607,0
JBC,135E,3,5,fungi,368,6.658,340,6.66,2.5658478186735176,2.531478917042255,3
JBC,135E,3,7,fungi,3320,7.064,2300,6.97,3.5211380837040362,3.361727836017593,3
JBC,135E,10,5,fungi,20000000,6.562,19000000,6.63,7.301029995663981,7.278753600952829,10
JBC,135E,10,7,fungi,122750000,7.1925,49500000,7.195,8.089021500795006,7.694605198933568,10
JBC,135E,21,5,fungi,80800000,7.494,51000000,7.55,7.907411360774586,7.707570176097937,21
JBC,135E,21,7,fungi,51800000,7.794,57000000,7.79,7.714329759745233,7.7558748556724915,21
JBC,BC10,0,5,fungi,491.2,5.86,250,5.86,2.691258358133111,2.3979400086720375,0
JBC,BC10,0,7,fungi,284.6,7.1,223,7.1,2.4542348957482654,2.3483048630481607,0
JBC,BC10,3,5,fungi,5904,6.192,4800,6.17,3.7711463488149852,3.681241237375587,3
JBC,BC10,3,7,fungi,1742,7.202,1900,7.14,3.241048150671644,3.278753600952829,3
JBC,BC10,10,5,fungi,40600000,6.77,41000000,6.84,7.608526033577194,7.6127838567197355,10
JBC,BC10,10,7,fungi,29700000,6.71,28400000,6.665,7.472756449317212,7.453318340047038,10
JBC,BC10,21,5,fungi,54000000,7.592,47000000,7.75,7.732393759822968,7.672097857935717,21
JBC,BC10,21,7,fungi,59800000,7.821999999999999,59000000,7.83,7.776701183988411,7.770852011642144,21
JBC,BC9,0,5,fungi,491.2,5.86,250,5.86,2.691258358133111,2.3979400086720375,0
JBC,BC9,0,7,fungi,284.6,7.1,223,7.1,2.4542348957482654,2.3483048630481607,0
JBC,BC9,3,5,fungi,5388,6.136,6200,6.17,3.731427587050948,3.792391689498254,3
JBC,BC9,3,7,fungi,1108,7.172,1290,7.07,3.044539760392411,3.110589710299249,3
JBC,BC9,10,5,fungi,49800000,6.87,52000000,6.81,7.697229342759718,7.7160033436347994,10
JBC,BC9,10,7,fungi,29220000,6.83,32000000,6.74,7.465680211598278,7.505149978319906,10
JBC,BC9,21,5,fungi,62200000,7.588,62000000,7.76,7.793790384690818,7.7923916894982534,21
JBC,BC9,21,7,fungi,42600000,7.874,41000000,7.84,7.629409599102719,7.6127838567197355,21
JBC,JB5,0,5,fungi,491.2,5.86,250,5.86,2.691258358133111,2.3979400086720375,0
JBC,JB5,0,7,fungi,284.6,7.1,223,7.1,2.4542348957482654,2.3483048630481607,0
JBC,JB5,3,5,fungi,7920,6.148000000000001,8900,6.15,3.8987251815894934,3.949390006644913,3
JBC,JB5,3,7,fungi,3800,7.082,3000,7,3.57978359661681,3.4771212547196626,3
JBC,JB5,10,5,fungi,53400000,6.886,52000000,6.91,7.727541257028556,7.7160033436347994,10
JBC,JB5,10,7,fungi,42420000,7.134,42000000,7.04,7.627570664180543,7.623249290397901,10
JBC,JB5,21,5,fungi,73200000,7.5325,67000000,7.609999999999999,7.864511081058392,7.826074802700826,21
JBC,JB5,21,7,fungi,51000000,7.864000000000001,50000000,7.78,7.707570176097937,7.698970004336019,21
JBC,JB7,0,5,fungi,491.2,5.86,250,5.86,2.691258358133111,2.3979400086720375,0
JBC,JB7,0,7,fungi,284.6,7.1,223,7.1,2.4542348957482654,2.3483048630481607,0
JBC,JB7,3,5,fungi,6120,6.182,6200,6.21,3.7867514221455614,3.792391689498254,3
JBC,JB7,3,7,fungi,3140,7.038,3600,6.93,3.496929648073215,3.5563025007672873,3
JBC,JB7,10,5,fungi,47000000,6.858,46000000,6.7,7.672097857935717,7.662757831681574,10
JBC,JB7,10,7,fungi,41640000,7.086,44000000,6.99,7.619510720838498,7.643452676486188,10
JBC,JB7,21,5,fungi,117600000,7.466,67000000,7.31,8.07040732174012,7.826074802700826,21
JBC,JB7,21,7,fungi,45200000,7.8420000000000005,44000000,7.75,7.6551384348113825,7.643452676486188,21
JBC,JB370,0,5,fungi,491.2,5.86,250,5.86,2.691258358133111,2.3979400086720375,0
JBC,JB370,0,7,fungi,284.6,7.1,223,7.1,2.4542348957482654,2.3483048630481607,0
JBC,JB370,3,5,fungi,11133.333333333334,6.17,13000,6.11,4.046625212091902,4.113943352306837,3
JBC,JB370,3,7,fungi,2220,7.116,2100,7.06,3.346352974450639,3.322219294733919,3
JBC,JB370,10,5,fungi,37600000,6.894,43000000,6.99,7.575187844927661,7.633468455579586,10
JBC,JB370,10,7,fungi,50400000,7.072,49000000,6.96,7.702430536445525,7.690196080028514,10
JBC,JB370,21,5,fungi,47500000,7.4575000000000005,47500000,7.425000000000001,7.676693609624866,7.676693609624866,21
JBC,JB370,21,7,fungi,55600000,7.742,45000000,7.67,7.7450747915820575,7.653212513775344,21
JBC,community,0,5,fungi,491.2,5.86,250,5.86,2.691258358133111,2.3979400086720375,0
JBC,community,0,7,fungi,284.6,7.1,223,7.1,2.4542348957482654,2.3483048630481607,0
JBC,community,3,5,fungi,760,6.702,520,6.66,2.8808135922807914,2.716003343634799,3
JBC,community,3,7,fungi,396.6666666666667,7.226666666666667,300,7.16,2.5984257066728684,2.4771212547196626,3
JBC,community,10,5,fungi,22400000,6.544,20000000,6.55,7.350248018334163,7.301029995663981,10
JBC,community,10,7,fungi,23000000,6.712,17000000,6.7,7.361727836017593,7.230448921378274,10
JBC,community,21,5,fungi,53200000,7.508,46000000,7.31,7.725911632295048,7.662757831681574,21
JBC,community,21,7,fungi,50800000,7.79,55000000,7.82,7.705863712283919,7.740362689494244,21
JB370,alone,0,5,fungi,632.4,5.86,603,5.86,2.8009918612601714,2.780317312140151,0
JB370,alone,0,7,fungi,412.4,7.1,476,7.1,2.6153186566114788,2.677606952720493,0
JB370,alone,3,5,fungi,1460,5.984,1200,5.95,3.164352855784437,3.0791812460476247,3
JB370,alone,3,7,fungi,940,7.226,1210,7.14,2.9731278535996988,3.0827853703164503,3
JB370,alone,10,5,fungi,720000,7.1325,730000,7.13,5.857332496431268,5.863322860120456,10
JB370,alone,10,7,fungi,90600,7.672,79000,7.71,4.957128197676813,4.897627091290442,10
JB370,alone,21,5,fungi,7900000,7.244,7900000,7.21,6.897627091290442,6.897627091290442,21
JB370,alone,21,7,fungi,1294000,7.644,1100000,7.42,6.111934276332682,6.041392685158225,21
JB370,135E,0,5,fungi,632.4,5.86,603,5.86,2.8009918612601714,2.780317312140151,0
JB370,135E,0,7,fungi,412.4,7.1,476,7.1,2.6153186566114788,2.677606952720493,0
JB370,135E,3,5,fungi,934,6.6,1000,6.64,2.9703468762300935,3,3
JB370,135E,3,7,fungi,412,7.206,400,7.09,2.6148972160331345,2.6020599913279625,3
JB370,135E,10,5,fungi,149000,7.518,104000,7.52,5.173186268412274,5.017033339298781,10
JB370,135E,10,7,fungi,33000,7.712,34000,7.68,4.518513939877887,4.531478917042255,10
JB370,135E,21,5,fungi,3320000,7.356,3500000,7.23,6.521138083704036,6.544068044350276,21
JB370,135E,21,7,fungi,1238000,7.734,810000,7.77,6.092720644684099,5.9084850188786495,21
JB370,BC10,0,5,fungi,632.4,5.86,603,5.86,2.8009918612601714,2.780317312140151,0
JB370,BC10,0,7,fungi,412.4,7.1,476,7.1,2.6153186566114788,2.677606952720493,0
JB370,BC10,3,5,fungi,828,6.106,480,6.05,2.9180303367848803,2.681241237375587,3
JB370,BC10,3,7,fungi,244,7.23,220,7.15,2.387389826338729,2.342422680822206,3
JB370,BC10,10,5,fungi,1556000,7.396,1180000,7.39,6.19200959265367,6.071882007306125,10
JB370,BC10,10,7,fungi,39600,7.808,29000,7.78,4.597695185925512,4.4623979978989565,10
JB370,BC10,21,5,fungi,6300000,7.175,6950000,7.18,6.799340549453582,6.841984804590114,21
JB370,BC10,21,7,fungi,516000,7.87,440000,7.85,5.712649701627211,5.643452676486188,21
JB370,BC9,0,5,fungi,632.4,5.86,603,5.86,2.8009918612601714,2.780317312140151,0
JB370,BC9,0,7,fungi,412.4,7.1,476,7.1,2.6153186566114788,2.677606952720493,0
JB370,BC9,3,5,fungi,2536,5.988,1360,5.95,3.404149249209695,3.1335389083702174,3
JB370,BC9,3,7,fungi,496,7.244,400,7.17,2.6954816764901977,2.6020599913279625,3
JB370,BC9,10,5,fungi,898000,7.39,880000,7.43,5.9532763366673045,5.944482672150168,10
JB370,BC9,10,7,fungi,10000,7.792,9000,7.71,4,3.9542425094393248,10
JB370,BC9,21,5,fungi,10880000,7.126,8400000,7.26,7.036628895362161,6.924279286061882,21
JB370,BC9,21,7,fungi,616000,7.8420000000000005,510000,7.87,5.789580712164425,5.707570176097937,21
JB370,JB5,0,5,fungi,632.4,5.86,603,5.86,2.8009918612601714,2.780317312140151,0
JB370,JB5,0,7,fungi,412.4,7.1,476,7.1,2.6153186566114788,2.677606952720493,0
JB370,JB5,3,5,fungi,1015,5.9925,1100,5.95,3.0064660422492318,3.041392685158225,3
JB370,JB5,3,7,fungi,630,7.195,600,7.14,2.7993405494535817,2.7781512503836434,3
JB370,JB5,10,5,fungi,742000,7.276,720000,7.28,5.870403905279027,5.857332496431268,10
JB370,JB5,10,7,fungi,71000,7.835999999999999,67000,7.79,4.8512583487190755,4.826074802700826,10
JB370,JB5,21,5,fungi,8220000,7.24,9300000,7.18,6.9148718175400505,6.968482948553935,21
JB370,JB5,21,7,fungi,1032000,7.752,1120000,7.7,6.013679697291193,6.049218022670182,21
JB370,JB7,0,5,fungi,632.4,5.86,603,5.86,2.8009918612601714,2.780317312140151,0
JB370,JB7,0,7,fungi,412.4,7.1,476,7.1,2.6153186566114788,2.677606952720493,0
JB370,JB7,3,5,fungi,1412,5.998,1540,5.97,3.149834696715785,3.187520720836463,3
JB370,JB7,3,7,fungi,470,7.218,400,7.09,2.6720978579357175,2.6020599913279625,3
JB370,JB7,10,5,fungi,1632000,7.286,1000000,7.27,6.212720154417842,6,10
JB370,JB7,10,7,fungi,32000,7.89,20000,7.82,4.505149978319906,4.301029995663981,10
JB370,JB7,21,5,fungi,7280000,7.224,6500000,7.17,6.862131379313038,6.812913356642856,21
JB370,JB7,21,7,fungi,1350000,7.455,1350000,7.4399999999999995,6.1303337684950066,6.1303337684950066,21
JB370,JBC,0,5,fungi,632.4,5.86,603,5.86,2.8009918612601714,2.780317312140151,0
JB370,JBC,0,7,fungi,412.4,7.1,476,7.1,2.6153186566114788,2.677606952720493,0
JB370,JBC,3,5,fungi,106,6.11,100,6.11,2.0253058652647704,2,3
JB370,JBC,3,7,fungi,158,7.116,200,7.06,2.1986570869544226,2.3010299956639813,3
JB370,JBC,10,5,fungi,190,6.8149999999999995,190,6.8149999999999995,2.278753600952829,2.278753600952829,10
JB370,JBC,10,7,fungi,45,7.1,40,7.095000000000001,1.6532125137753437,1.6020599913279623,10
JB370,JBC,21,5,fungi,251257.5,7.6275,2400,7.57,5.400119034249442,3.380211241711606,21
JB370,JBC,21,7,fungi,1390,7.8175,1370,7.84,3.143014800254095,3.1367205671564067,21
JB370,community,0,5,fungi,632.4,5.86,603,5.86,2.8009918612601714,2.780317312140151,0
JB370,community,0,7,fungi,412.4,7.1,476,7.1,2.6153186566114788,2.677606952720493,0
JB370,community,3,5,fungi,295,6.640000000000001,260,6.655,2.469822015978163,2.4149733479708178,3
JB370,community,3,7,fungi,160,7.226666666666667,160,7.16,2.2041199826559246,2.2041199826559246,3
JB370,community,10,5,fungi,825,6.47,695,6.46,2.916453948549925,2.8419848045901137,10
JB370,community,10,7,fungi,160,6.6899999999999995,15,6.63,2.2041199826559246,1.1760912590556813,10
JB370,community,21,5,fungi,17468,7.508,2410,7.31,4.242243183249302,3.3820170425748683,21
JB370,community,21,7,fungi,2675,7.61,2675,7.61,3.427323786357247,3.427323786357247,21
